CEFR level,order_index,subject,subject_words ,need their own video lessons ,used 
,,,,,variable
,,,,,enormous
,,,,,sweet
,,,,,permanent
,,,,,emotion
,,,,,pursue
,,,,,tall
,,,,,urge
,,,,,enemy
,,,,,appoint
,,,,,milk
,,,,,talent
,,,,,smell
,,,,,prior
,,,,,priority
,,,,,online
,,,,,phrase
,,,,,pilot
,,,,,stable
,,,,,merely
,,,,,resolution
,,,,,communicate
,,,,,injury
,,,,,vast
,,,,,exhibition
,,,,,producer
,,,,,regional
,,,,,immediate
,,,,,incident
,,,,,childhood
,,,,,draft
,,,,,every
,,,,,accompany
,,,,,politician
,,,,,angry
,,,,,knock
,,,,,seed
,,,,,salary
,,,,,illustrate
,,,,,imply
,,,,,breakfast
,,,,,temporary
,,,,,liberal
,,,,,lake
,,,,,qualify
,,,,,competitive
,,,,,truly
,,,,,hi
,,,,,yellow
,,,,,habit
,,,,,disk
,,,,,core
,,,,,emotional
,,,,,aircraft
,,,,,self
,,,,,metal
,,,,,existence
,,,,,bone
,,,,,panel
,,,,,prime
,,,,,appointment
,,,,,emphasize
,,,,,maximum
,,,,,effectively
,,,,,elsewhere
,,,,,bother
,,,,,initiative
,,,,,sharp
,,,,,diet
,,,,,motion
,,,,,
,,,,,plastic
,,,,,complicate
,,,,,discipline
,,,,,disappoint
,,,,,boss
,,,,,assumption
,,,,,freeze
,,,,,extreme
,,,,,passage
,,,,,reputation
,,,,,forth
,,,,,negotiation
,,,,,mechanism
,,,,,coat
,,,,,democracy
,,,,,pocket
,,,,,lucky
,,,,,crash
,,,,,observation
,,,,,meat
,,,,,concentration
,,,,,implication
,,,,,deserve
,,,,,unusual
,,,,,defend
,,,,,classic
,,,,,king
,,,,,interaction
,,,,,repair
,,,,,collapse
,,,,,borrow
,,,,,fundamental
,,,,,dish
,,,,,abroad
,,,,,soul
,,,,,capable
,,,,,defeat
,,,,,presidential
,,,,,perfectly
,,,,,enhance
,,,,,proud
,,,,,emergency
,,,,,educational
,,,,,distinguish
,,,,,substantial
,,,,,nearby
,,,,,manufacturer
,,,,,slide
,,,,,valuable
,,,,,personally
,,,,,breast
,,,,,cope
,,,,,approximately
,,,,,accommodation
,,,,,highlight
,,,,,reporter
,,,,,climate
,,,,,pants 
,,,,,exception
,,,,,corporation
,,,,,chip
,,,,,winner
,,,,,encounter
,,,,,brown
,,,,,breathe
,,,,,excuse
,,,,,partly
,,,,,tennis
,,,,,urban
,,,,,confuse
,,,,,southern
,,,,,output
,,,,,beauty
,,,,,massive
,,,,, install
,,,,,calculate
,,,,,mouse
,,,,,maths
,,,,,upper
,,,,,creation
,,,,,occupy
,,,,,outline
,,,,,sufficient
,,,,,update
,,,,,luck
,,,,,preserve
,,,,,split
,,,,,swing
,,,,,illness
,,,,,journalist
,,,,,sudden
,,,,,advertisement
,,,,,consistent
,,,,,originally
,,,,,aside
,,,,,comfort
,,,,,secondly
,,,,,severe
,,,,,gene
,,,,,prospect
,,,,,snow
,,,,,plot
,,,,,neck
,,,,,criteria
,,,,,primarily
,,,,,integrate
,,,,,criticism
,,,,,convention
,,,,,bet
,,,,,retain
,,,,,sequence
,,,,,plain
,,,,,volunteer
,,,,,rural
,,,,,calm
,,,,,abandon
,,,,,examination
,,,,,silence
,,,,, rapidly
,,,,,efficient
,,,,,revolution
,,,,,delight
,,,,,spell
,,,,,premise
,,,,,lean
,,,,,dramatic
,,,,,differ
,,,,,grateful
,,,,,protein
,,,,,bike
,,,,,distribute
,,,,,intellectual
,,,,,derive
,,,,,crucial
,,,,,
,,,,,wheel
,,,,,crop
,,,,,minority
,,,,,origin
,,,,,interpretation
,,,,,gentleman
,,,,, drama
,,,,,landscape
,,,,,educate
,,,,,toy
,,,,,fault
,,,,,exhibit
,,,,,minor
,,,,,hunt
,,,,,storm
,,,,,thick
,,,,,achievement
,,,,,negotiate
,,,,,dominate
,,,,,supplier
,,,,,prize
,,,,,typically
,,,,,peer
,,,,,pension
,,,,,wing
,,,,,acquisition
,,,,,laughter
,,,,,deeply
,,,,,recognition
,,,,,electricity
,,,,,assistance
,,,,,roof
,,,,,retirement
,,,,,respectively
,,,,,variation
,,,,,ultimately
,,,,,proof
,,,,,soil
,,,,,smart
,,,,,layer
,,,,,upset
,,,,,tooth
,,,,,representation
,,,,,preparation
,,,,,dispute
,,,,,agenda
,,,,,emphasis
,,,,,edition
,,,,,silver
,,,,,entertainment
,,,,,honest
,,,,,undertake
,,,,,retail
,,,,,wire
,,,,,unlikely
,,,,,gay
,,,,,publication
,,,,,slight
,,,,,unknown
,,,,,framework
,,,,,zone
,,,,,restrict
,,,,,trace
,,,,,inch
,,,,,equivalent
,,,,,solid
,,,,,enterprise
,,,,,elderly
,,,,,owe
,,,,,governor
,,,,,uniform
,,,,,port
,,,,,pitch
,,,,,arrival
,,,,,
,,,,,gate
,,,,,ease
,,,,,beer
,,,,,specialist
,,,,,assure
,,,,,profile
,,,,,mood
,,,,,episode
,,,,,crack
,,,,,numerous
,,,,,submit
,,,,,symptom
,,,,,virtually
,,,,,era
,,,,,coverage
,,,,,tension
,,,,,cable
,,,,,sensitive
,,,,,nervous
,,,,,input
,,,,,isolate
,,,,,prisoner
,,,,,eliminate
,,,,,tight
,,,,,wet
,,,,,secondary
,,,,,welfare
,,,,,recruit
,,,,,exclude
,,,,,string
,,,,, cloud
,,,,,persuade
,,,,,inspire
,,,,,grand
,,,,,hence
,,,,,crew
,,,,,phenomenon
,,,,,pupil
,,,,,FALSE
,,,,,assist
,,,,,restore
,,,,,formula
,,,,,alter
,,,,,perceive
,,,,,routine
,,,,,sink
,,,,,stare
,,,,,anymore
,,,,,hero
,,,,,supporter
,,,,,convert
,,,,,steady
,,,,,meter
,,,,,truck
,,,,,nose
,,,,,beside
,,,,,sail
,,,,,disaster
,,,,,pace
,,,,,heavily
,,,,,devote
,,,,,terrorist
,,,,,justify
,,,,,vital
,,,,,fascinate
,,,,,external
,,,,,spare
,,,,,whenever
,,,,, depression
,,,,,guilty
,,,,,underlie
,,,,,
,,,,,distinction
,,,,,satisfaction
,,,,,incorporate
,,,,,pour
,,,,,sweep
,,,,,obligation
,,,,,sir
,,,,,modify
,,,,,anger
,,,,,pub
,,,,,perception
,,,,,naturally
,,,,,currency
,,,,,database
,,,,,initially
,,,,,territory
,,,,,stream
,,,,,rarely
,,,,,height
,,,,,apparent
,,,,,western
,,,,,expansion
,,,,,constantly
,,,,,muscle
,,,,,scare
,,,,,badly
,,,,,everyday
,,,,,boundary
,,,,,ratio
,,,,,essay
,,,,,scream
,,,,,withdraw
,,,,,pollution
,,,,,disorder
,,,,,furniture
,,,,,symbol
,,,,,apartment
,,,,,demonstration
,,,,,analyst
,,,,,platform
,,,,,steel
,,,,,cake
,,,,,transform
,,,,,wound
,,,,,restriction
,,,,,foundation
,,,,,designer
,,,,,strain
,,,,,innovation
,,,,,album
,,,,,singer
,,,,,trail
,,,,,trap
,,,,,loose
,,,,,extension
,,,,,wealth
,,,,,gradually
,,,,,tank
,,,,,evil
,,,,,remarkable
,,,,,tune
,,,,,grass
,,,,,invitation
,,,,,transition
,,,,,frighten
,,,,,bid
,,,,,breed
,,,,,extraordinary
,,,,,brilliant
,,,,,adviser
,,,,,stem
,,,,,reverse
,,,,,mode
,,,,,mirror
,,,,,awful
,,,,,pose
,,,,,adjust
,,,,,creative
,,,,,nowadays
,,,,,poem
,,,,,agricultural
,,,,,competitor
,,,,,alcohol
,,,,,festival
,,,,,vegetable
,,,,,van
,,,,,confident
,,,,,planet
,,,,,curve
,,,,,knee
,,,,,overcome
,,,,,web
,,,,,depth
,,,,,entrance
,,,,,log
,,,,,giant
,,,,,god
,,,,,portion
,,,,,substance
,,,,,extensive
,,,,,interpret
,,,,,independence
,,,,,sugar
,,,,,inner
,,,,,harm
,,,,,consult
,,,,,pink
,,,,,shadow
,,,,,strip
,,,,,smooth
,,,,,intervention
,,,,,impress
,,,,,exam
,,,,,vice
,,,,,radical
,,,,,similarly
,,,,,behave
,,,,,loud
,,,,,dimension
,,,,,subsequent
,,,,,infection
,,,,,jacket
,,,,,efficiency
,,,,,dirty
,,,,,statistic
,,,,,regularly
,,,,,resort
,,,,,iron
,,,,,broadcast
,,,,,membership
,,,,,bread
,,,,,blind
,,,,,pure
,,,,,bloody
,,,,,ally
,,,,,quantity
,,,,,bend
,,,,,mature
,,,,,briefly
,,,,,alarm
,,,,,disturb
,,,,,sustain
,,,,,flood
,,,,,poverty
,,,,,crazy
,,,,,cite
,,,,,newly
,,,,,parallel
,,,,,gender
,,,,,sponsor
,,,,,boot
,,,,,accurate
,,,,,dealer
,,,,,button
,,,,,burden
,,,,,desert
,,,,,mate
,,,,,occasionally
,,,,,shareholder
,,,,,bowl
,,,,,discovery
,,,,,resistance
,,,,,bath
,,,,,frequency
,,,,,criticize
,,,,,tap
,,,,,philosophy
,,,,,lip
,,,,,attribute
,,,,,apologize
,,,,,approval
,,,,,grab
,,,,,entitle
,,,,,lend
,,,,,involvement
,,,,,exposure
,,,,,conventional
,,,,,digital
,,,,,translate
,,,,,edit
,,,,,formation
,,,,,deposit
,,,,,pleasant
,,,,,overseas
,,,,,advocate
,,,,,establishment
,,,,,summary
,,,,,rough
,,,,,pen
,,,,,recovery
,,,,,seal
,,,,,tube
,,,,,tower
,,,,,characterise
,,,,,specify
,,,,,exact
,,,,,spin
,,,,,operator
,,,,,infant
,,,,,dig
,,,,,drag
,,,,,mount
,,,,,wrap
,,,,,anticipate
,,,,,dependent
,,,,,specialize
,,,,,angle
,,,,,chicken
,,,,,anxiety
,,,,, virus
,,,,,precisely
,,,,,rival
,,,,,offense
,,,,,detect
,,,,,teenager
,,,,,admire
,,,,,moderate
,,,,,surgery
,,,,,musician
,,,,,significance
,,,,,shower
,,,,,illegal
,,,,,charity
,,,,,universal
,,,,,cigarette
,,,,,constitute
,,,,,adequate
,,,,,consultant
,,,,,historian
,,,,,cousin
,,,,,visual
,,,,,stupid
,,,,,keen
,,,,,ethnic
,,,,,twin
,,,,,clinical
,,,,,eastern
,,,,,forecast
,,,,,segment
,,,,,custom
,,,,,adapt
,,,,,sand
,,,,,cap
,,,,,prompt
,,,,,charm
,,,,,react
,,,,,lecture
,,,,,venture
,,,,,compound
,,,,,rescue
,,,,,mess
,,,,,preference
,,,,,comprehensive
,,,,,incentive
,,,,,league
,,,,,dialog
,,,,,cream
,,,,,rapid
,,,,,cancel
,,,,,regret
,,,,,dismiss
,,,,,margin
,,,,,beneath
,,,,,opponent
,,,,,resist
,,,,,capability
,,,,,absolute
,,,,,correspond
,,,,,stroke
,,,,,dare
,,,,,barrier
,,,,,rid
,,,,,divorce
,,,,,ruin
,,,,,bury
,,,,,counsel
,,,,,tendency
,,,,,frequent
,,,,,motor
,,,,,survival
,,,,,counter
,,,,,possess
,,,,,permission
,,,,,valley
,,,,,float
,,,,,mad
,,,,,greatly
,,,,,visible
,,,,,electric
,,,,,impressive
,,,,,evolution
,,,,,awareness
,,,,,violent
,,,,,slave
,,,,,wealthy
,,,,,architecture
,,,,,acceptable
,,,,,journal
,,,,,coal
,,,,,measurement
,,,,,random
,,,,,successfully
,,,,,depress
,,,,,illustration
,,,,,burst
,,,,,privilege
,,,,,buyer
,,,,,mutual
,,,,,rail
,,,,,motivate
,,,,,laboratory
,,,,,mortgage
,,,,,promotion
,,,,,passion
,,,,,champion
,,,,,fulfill
,,,,,dust
,,,,,dedicate
,,,,,roughly
,,,,,skirt
,,,,,province
,,,,,march
,,,,,evaluation
,,,,,compromise
,,,,,accomplish
,,,,,weakness
,,,,,announcement
,,,,,salt
,,,,,glance
,,,,,opera
,,,,,contest
,,,,,brush
,,,,,embarrass
,,,,,gallery
,,,,,genetic
,,,,,aggressive
,,,,,chest
,,,,,format
,,,,,literary
,,,,,govern
,,,,,embrace
,,,,,praise
,,,,,silent
,,,,,pump
,,,,,publish
,,,,,celebration
,,,,,golf
,,,,,compensation
,,,,,classical
,,,,,weigh
,,,,,versus
,,,,,deficit
,,,,,modify
,,,,,flash
,,,,,friendship
,,,,,profession
,,,,,literally
,,,,,equation
,,,,,gesture
,,,,,entertain
,,,,,fantastic
,,,,,assign
,,,,,inflation
,,,,,historic
,,,,,injure
,,,,,remote
,,,,,therapy
,,,,,orange
,,,,,twist
,,,,,personnel
,,,,,imagination
,,,,, disagree
,,,,,throat
,,,,,insight
,,,,,tackle
,,,,,forever
,,,,,exceed
,,,,,expenditure
,,,,,joy
,,,,,pregnant
,,,,,reliable
,,,,,gear
,,,,,click
,,,,,poet
,,,,,fortune
,,,,,ceremony
,,,,,pile
,,,,,pig
,,,,,
,,,,,automatically
,,,,,scholar
,,,,,psychological
,,,,,dramatically
,,,,,stake
,,,,,creature
,,,,,partnership
,,,,,participation
,,,,,clause
,,,,,penalty
,,,,,chamber
,,,,,fancy
,,,,,poetry
,,,,,chat
,,,,,clothing
,,,,,evolve
,,,,,sake
,,,,,shelf
,,,,,boost
,,,,,tail
,,,,,possession
,,,,,abortion
,,,,,curious
,,,,,wood
,,,,,boom
,,,,,tale
,,,,,democratic
,,,,,maintenance
,,,,,consequently
,,,,,pot
,,,,,cow
,,,,,strengthen
,,,,,whilst
,,,,,constraint
,,,,,fold
,,,,,bin
,,,,,undergo
,,,,,potentially
,,,,,scope
,,,,,pretend
,,,,,diversity
,,,,,
,,,,,pride
,,,,,intense
,,,,,inquiry
,,,,,resign
,,,,,craft
,,,,,strict
,,,,,concrete
,,,,,shell
,,,,,damn
,,,,,distinct
,,,,,humor
,,,,,limitation
,,,,,indication
,,,,,stability
,,,,,wise
,,,,,neglect
,,,,,compose
,,,,,jail
,,,,,shelter
,,,,,mere
,,,,,carbon
,,,,,regulate
,,,,,cheese
,,,,,trigger
,,,,,pipe
,,,,,destruction
,,,,,guitar
,,,,,flag
,,,,,piano
,,,,,magic
,,,,,mystery
,,,,,ski
,,,,,whisper
,,,,,rear
,,,,,menu
,,,,,species
,,,,,moon
,,,,,presumably
,,,,,bless
,,,,,airline
,,,,,amendment
,,,,,grandmother
,,,,,jury
,,,,,cooperation
,,,,,civilian
,,,,,composition
,,,,,coin
,,,,,regardless
,,,,,scan
,,,,,bunch
,,,,,racial
,,,,,greet
,,,,,hopefully
,,,,,sanction
,,,,,trick
,,,,,paragraph
,,,,,maker
,,,,,chocolate
,,,,,stimulate
,,,,,belt
,,,,,potato
,,,,,narrative
,,,,,tissue
,,,,,barely
,,,,,invent
,,,,,tourism
,,,,,pro
,,,,,stair
,,,,,hesitate
,,,,,shine
,,,,,motivation
,,,,,romantic
,,,,,firmly
,,,,,interior
,,,,,stomach
,,,,,nowhere
,,,,,pray
,,,,,championship
,,,,,servant
,,,,,immigrant
,,,,,excess
,,,,,complexity
,,,,,liability
,,,,,surprisingly
,,,,,extract
,,,,,implementation
,,,,,bias
,,,,,
,,,,,catalog
,,,,,continuous
,,,,,golden
,,,,,stamp
,,,,,guideline
,,,,,envelope
,,,,,knife
,,,,,biological
,,,,,consume
,,,,,luxury
,,,,,weekly
,,,,,wherever
,,,,,bite
,,,,,printer
,,,,,firstly
,,,,,anxious
,,,,,adventure
,,,,,fence
,,,,,exhaust
,,,,,attraction
,,,,,ocean
,,,,,quietly
,,,,,castle
,,,,,veteran
,,,,,reflection
,,,,,nerve
,,,,,determination
,,,,,altogether
,,,,,fiction
,,,,,carpet
,,,,,cluster
,,,,,confusion
,,,,,hurry
,,,,,logic
,,,,,controversial
,,,,,raw
,,,,,grammar
,,,,,revise
,,,,,hint
,,,,,hook
,,,,,bell
,,,,,liquid
,,,,,panic
,,,,,uncle
,,,,,rice
,,,,,slope
,,,,,happiness
,,,,,genuine
,,,,,vessel
,,,,,verb
,,,,,reckon
,,,,,silly
,,,,,transportation
,,,,,harbor
,,,,,comedy
,,,,,chase
,,,,,storage
,,,,,universe
,,,,,horrible
,,,,, sheep
,,,,,lover
,,,,,rat
,,,,,portrait
,,,,,innocent
,,,,,substitute
,,,,,supplement
,,,,,adjustment
,,,,,reasonably
,,,,,filter
,,,,,flexible
,,,,,abstract
,,,,,tent
,,,,,precise
,,,,,distant
,,,,,stranger
,,,,,shade
,,,,,grain
,,,,,situate
,,,,,summarize
,,,,,leap
,,,,,snap
,,,,,probability
,,,,,leather
,,,,,uncertainty
,,,,,swear
,,,,,refugee
,,,,,shore
,,,,,monthly
,,,,,comprise
,,,,,stir
,,,,,excitement
,,,,,
,,,,,pregnancy
,,,,,experimental
,,,,,institutional
,,,,,slice
,,,,, wander
,,,,,empire
,,,,,subsequently
,,,,,gentle
,,,,,attendance
,,,,,ownership
,,,,,qualification
,,,,, suspend
,,,,,functional
,,,,,voluntary
,,,,,pale
,,,,,stain
,,,,,athlete
,,,,,organic
,,,,,tongue
,,,,,server
,,,,,structural
,,,,,website
,,,,,fool
,,,,,alongside
,,,,,unite
,,,,,gently
,,,,,compute
,,,,,wipe
,,,,,weird
,,,,,gaze
,,,,,fade
,,,,,cough
,,,,,hypothesis
,,,,,royal
,,,,,theoretical
,,,,,curtain
,,,,,mayor
,,,,,darkness
,,,,,aunt
,,,,,tournament
,,,,,registration
,,,,,fragment
,,,,,listener
,,,,,immigration
,,,,,tender
,,,,,density
,,,,,ugly
,,,,,module
,,,,,faithfully
,,,,,autumn
,,,,,cheek
,,,,,attachment
,,,,,holder
,,,,,solar
,,,,,grin
,,,,,rose
,,,,,noun
,,,,,fortunate
,,,,,alright
,,,,,lazy
,,,,,hello
,,,,,hunger
,,,,,insure
,,,,,ashamed
,,,,,found
,,,,,blog
,,,,,thirst
,,,,,cinema 
,,,,,shoes
,,,,,colour 
,,,,,assignment
,,,,,boyfriend
,,,,,girlfriend
,,,,,sign
,,,,,midday 
,,,,,midnight
,,,,,sunrise
,,,,,sunset
,,,,,metal
,,,,,grey
,,,,,purple
,,,,,favourite
,,,,,accent
,,,,,lost
,,,,,cooking
,,,,,media
,,,,,mum
,,,,,pet
,,,,,gossip
,,,,,decorate
,,,,,airport
,,,,,tired
,,,,,cure
,,,,,dose
,,,,,bitish
,,,,,irish
,,,,,american
,,,,,indian
,,,,,chinese
,,,,,pakistani
,,,,,bangladeshi
,,,,,spanish
,,,,,french
,,,,,favourite
